P[kW]
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.018
0.177
0.376
0.596
0.825
1.058
1.289
1.517
1.738
1.950
2.151
2.341
2.518
2.682
2.832
2.967
3.088
3.195
3.286
3.363
3.425
3.472
3.504
3.521
3.524
3.512
3.485
3.443
3.387
3.315
3.229
3.128
3.012
2.882
2.737
2.578
2.406
2.220
2.023
1.814
1.597
1.371
1.140
0.907
0.676
0.453
0.245
0.067
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
0.000
