Time,AP[MW],BP[MW],CP[MW]
00:00:00, 0, 0.0046160000000000236, 0
00:15:00, 0, 0.0036288888888888828, 0
00:30:00, 0.0046500000000000226, 0, 0
00:45:00, 0, 0, 0.0046110000000000246
01:00:00, 0, 0, 0.0045710000000000006
01:15:00, 0, 0.0046120000000000223, 0
01:30:00, 0.0046450000000000156, 0, 0
01:45:00, 0, 0, 0.0046200000000000223
02:00:00, 0, 0, -0.0047000000000000286
02:15:00, 0, -0.004647, 0
02:30:00, -0.0047400000000000251, 0, 0
02:45:00, 0, 0, -0.0046450000000000289
03:00:00, 0, 0, -0.0045460000000000331
03:15:00, 0, -0.0046520000000000303, 0
03:30:00, 0, 0, -0.0045070000000000201
03:45:00, 0, -0.0047020000000000302, 0
04:00:00, 0, 0.0046400000000000237, 0
04:15:00, 0.0047150000000000167, 0, 0
04:30:00, 0.0049080000000000332, 0, 0
04:45:00, 0.0051390000000000224, 0, 0
05:00:00, 0, 0, -0.0046039999999999983
05:15:00, 0, -0.0047240000000000295, 0
05:30:00, 0, 0, 0
05:45:00, 0, 0, 0
06:00:00, 0, 0, 0
06:15:00, 0, 0, 0
06:30:00, 0, 0, 0
06:45:00, 0, 0, 0
07:00:00, 0, 0, 0
07:15:00, 0, 0, 0
07:30:00, 0, 0, 0
07:45:00, 0, 0, 0
08:00:00, 0, 0, 0
08:15:00, 0, 0, 0
08:30:00, 0, 0, 0
08:45:00, 0, 0, 0
09:00:00, 0, 0, 0
09:15:00, 0, 0, 0
09:30:00, 0, 0, 0
09:45:00, 0, 0, 0
10:00:00, 0, 0, 0
10:15:00, 0, 0, 0
10:30:00, 0, 0, 0
10:45:00, 0, 0, 0
11:00:00, 0, 0, 0
11:15:00, 0, 0, 0
11:30:00, 0, 0, 0
11:45:00, 0, 0, 0
12:00:00, 0, 0, 0
12:15:00, 0, 0, 0
12:30:00, 0, 0, 0
12:45:00, 0, 0, 0
13:00:00, 0, 0, 0
13:15:00, 0, 0, 0
13:30:00, 0, 0, 0
13:45:00, 0, 0, 0
14:00:00, 0, 0, 0
14:15:00, 0, 0, 0
14:30:00, 0, 0, 0
14:45:00, 0, 0, 0
15:00:00, 0, 0, 0
15:15:00, 0, 0, 0
15:30:00, 0, 0, 0
15:45:00, 0, 0, 0
16:00:00, 0, 0, 0
16:15:00, 0, 0, 0
16:30:00, 0, 0, 0
16:45:00, 0, 0, 0
17:00:00, 0, 0, 0
17:15:00, 0, 0, 0
17:30:00, 0, 0, 0
17:45:00, 0, 0, 0
18:00:00, 0, 0, 0
18:15:00, 0, 0, 0.0048290000000000362
18:30:00, 0.0031781111111110327, 0, 0
18:45:00, 0, 0.0045900000000000007, 0
19:00:00, 0, -0.0046530000000000244, 0
19:15:00, 0, -0.0052651757396280097, 0
19:30:00, 0, 0, -0.0021242457415381013
19:45:00, 0, 0, -0.0052769117461039539
20:00:00, -0.0050409998263801050, 0, 0
20:15:00, -0.0048249998230919378, 0, 0
20:30:00, -0.0047409998218766392, 0, 0
20:45:00, -0.0046109998207702887, 0, 0
21:00:00, 0, 0.0048909998645856279, 0
21:15:00, 0, 0, 0.0049399998644225915
21:30:00, 0, 0, 0.0050989998639254237
21:45:00, 0, 0.0046769998652862634, 0
22:00:00, 0.0049009999503609789, 0, 0
22:15:00, 0, 0, 0.0050179999503101280
22:30:00, 0.0047359999504810473, 0, 0
22:45:00, 0.0048149999505078549, 0, 0
23:00:00, 0, 0, 0.0053769999802649027
23:15:00, 0, 0, 0.0046589999819550227
23:30:00, 0, 0.0046139999819191191, 0
23:45:00, 0, 0, 0.0048239999820374804
