Time,AP[MW],BP[MW],CP[MW]
00:00:00, 0.0045840000000000130, 0, 0
00:15:00, 0.0045540000000000225, 0, 0
00:30:00, 0, 0, 0.0043870000000000244  
00:45:00, 0.0038343333333333058, 0, 0 
01:00:00, 0.0046290000000000200, 0, 0 
01:15:00, 0, 0.0046120000000000223, 0 
01:30:00, 0, 0.0046450000000000164, 0 
01:45:00, 0, 0, 0.0046200000000000214 
02:00:00, 0, -0.0045, 0 
02:15:00, 0, -0.0046470000000000278, 0 
02:30:00, -0.0047400000000000233, 0, 0 
02:45:00, 0, 0, -0.0046450000000000431 
03:00:00, -0.0046170000000000266, 0, 0 
03:15:00, 0, -0.0046520000000000348, 0 
03:30:00, 0, -0.004556, 0 
03:45:00, 0, 0, -0.0044380000000000281 
04:00:00, 0, 0.0046400000000000228, 0
04:15:00, 0.0047150000000000167, 0, 0 
04:30:00, 0.0049080000000000341, 0, 0 
04:45:00, 0, 0, 0 
05:00:00, 0, 0, 0 
05:15:00, 0, 0, 0 
05:30:00, 0, 0, 0 
05:45:00, 0, 0, 0 
06:00:00, 0, 0, 0
06:15:00, 0, 0, 0 
06:30:00, 0, 0, 0
06:45:00, 0, 0, 0
07:00:00, 0, 0, 0
07:15:00, 0, 0, 0
07:30:00, 0, 0, 0
07:45:00, 0, 0, 0
08:00:00, 0, 0, 0
08:15:00, 0, 0, 0
08:30:00, 0, 0, 0
08:45:00, 0, 0, 0
09:00:00, 0, 0, 0
09:15:00, 0, 0, 0
09:30:00, 0, 0, 0
09:45:00, 0, 0, 0
10:00:00, 0, 0, 0
10:15:00, 0, 0, 0
10:30:00, 0, 0, 0
10:45:00, 0, 0, 0
11:00:00, 0, 0, 0
11:15:00, 0, 0, 0
11:30:00, 0, 0, 0
11:45:00, 0, 0, 0
12:00:00, 0, 0, 0
12:15:00, 0, 0, 0
12:30:00, 0, 0, 0
12:45:00, 0, 0, 0
13:00:00, 0, 0, 0
13:15:00, 0, 0, 0
13:30:00, 0, 0, 0
13:45:00, 0, 0, 0
14:00:00, 0, 0, 0
14:15:00, 0, 0, 0
14:30:00, 0, 0, 0
14:45:00, 0, 0, 0
15:00:00, 0, 0, 0
15:15:00, 0, 0, 0
15:30:00, 0, 0, 0
15:45:00, 0.0046829998431582860, 0, 0
16:00:00, 0, 0, 0.0046009996630033685
16:15:00, 0.0046559997418691212, 0, 0
16:30:00, 0, 0, 0.0046369996630147847
16:45:00, 0, 0.0046439996758419086, 0
17:00:00, 0, 0, 0.0046269990336807405
17:15:00, 0, 0.0047059991039281917, 0
17:30:00, 0, 0, 0.0046839990121426540
17:45:00, 0, 0.0046249990747232248, 0
18:00:00, 0, 0, 0.0048695074998737171
18:15:00, 0, 0, 0.0047738428387313023
18:30:00, 0, 0.0040631839195159527, 0
18:45:00, 0, 0.0049137019368848440, 0
19:00:00, -0.0071999991701904795, 0, 0
19:15:00, 0, -0.0071999992262361010, 0
19:30:00, -0.0071999992125140588, 0, 0 
19:45:00, 0, 0, -0.0071999992397901096 
20:00:00, -0.0050409998278798378, 0, 0  
20:15:00, -0.0071999995243792414, 0, 0
20:30:00, 0, -0.0071999995239939771, 0
20:45:00, 0, -0.0071999995235198373, 0  
21:00:00, 0.0048099970622555412, 0, 0 
21:15:00, 0, 0.0047219970616998959, 0 
21:30:00, 0, 0.0046209973048487862, 0
21:45:00, 0, 0, 0.0048159969936464213
22:00:00, 0, 0, 0.0046449995893478642  
22:15:00, 0.0046319996439557718, 0, 0 
22:30:00, 0.0046539995419416682, 0, 0 
22:45:00, 0.0048059996417069213, 0, 0
23:00:00, 0, 0, 0.0053769999053370645
23:15:00, 0, 0, 0.0046589999065678898 
23:30:00, 0, 0.0046139999066244419, 0
23:45:00, 0, 0, 0.0048239999063972769
