Time,AP[MW],BP[MW],CP[MW]
00:00:00, 0, 0.0046160000000000236, 0
00:15:00, 0, 0.0046350000000000202, 0
00:30:00, 0.0046500000000000226, 0, 0
00:45:00, 0, 0, 0.0046110000000000246
01:00:00, 0, 0.0046290000000000004, 0
01:15:00, 0, 0.0046120000000000223, 0
01:30:00, 0.0046450000000000156, 0, 0
01:45:00, 0, 0, 0.0046200000000000214
02:00:00, 0, -0.0045000000000000187, 0
02:15:00, 0, 0, -0.00075788888888893347
02:30:00, -0.0047400000000000162, 0, 0
02:45:00, 0, -0.0045550000000000095, 0
03:00:00, 0, 0, 0.0046370000000000244
03:15:00, 0, 0, 0.0046630000000000074
03:30:00, 0, 0, 0.0046490000000000249
03:45:00, 0, 0, 0.0046600000000000232
04:00:00, 0, 0.0046400000000000237, 0
04:15:00, 0.0047150000000000043, 0, 0
04:30:00, 0.0049080000000000092, 0, 0
04:45:00, 0.0051390000000000216, 0, 0
05:00:00, 0.0054720000000000075, 0, 0
05:15:00, 0.0056330000000000213, 0, 0
05:30:00, 0.0058540000000000054, 0, 0
05:45:00, 0.0061690000000000085, 0, 0
06:00:00, 0, -0.0047520000000000246, 0
06:15:00, 0, 0, -0.0049070000000000293
06:30:00, 0, 0, -0.0050080000000000293
06:45:00, 0, 0, -0.0071999999999999993
07:00:00, 0, 0, -0.0048720000000000283
07:15:00, 0, -0.0048290000000000290, 0
07:30:00, 0, -0.0059730000000000265, 0
07:45:00, 0, -0.0049660000000000304, 0
08:00:00, 0, 0, -0.0052310000000000310
08:15:00, 0, 0, -0.0047550000000000283
08:30:00, 0, 0, 0
08:45:00, 0, 0, 0
09:00:00, 0, 0, 0
09:15:00, 0, 0, 0
09:30:00, 0, 0, 0
09:45:00, 0, 0, 0
10:00:00, 0, 0, 0
10:15:00, 0, 0, 0
10:30:00, 0, 0, 0
10:45:00, 0, 0, 0
11:00:00, 0, 0, 0
11:15:00, 0, 0, 0
11:30:00, 0, 0, 0
11:45:00, 0, 0, 0
12:00:00, 0, 0, 0
12:15:00, 0, 0, 0
12:30:00, 0, 0, 0
12:45:00, 0, 0, 0
13:00:00, 0, 0, 0
13:15:00, 0, 0, 0
13:30:00, 0, 0, 0
13:45:00, 0, 0, 0
14:00:00, 0, 0, 0
14:15:00, 0, 0, 0
14:30:00, 0, 0, 0
14:45:00, 0, 0, 0
15:00:00, 0, 0, 0
15:15:00, 0, 0, 0
15:30:00, 0, 0, 0
15:45:00, 0, 0, 0
16:00:00, 0, 0, 0
16:15:00, 0, 0, 0
16:30:00, 0, 0, 0
16:45:00, 0, 0, 0
17:00:00, 0, 0, 0
17:15:00, 0, 0, 0
17:30:00, 0, 0, 0
17:45:00, 0, 0, 0
18:00:00, 0, 0, 0
18:15:00, 0, 0, 0
18:30:00, 0, 0, 0
18:45:00, 0, 0, 0
19:00:00, 0, 0, 0
19:15:00, 0, 0, 0
19:30:00, 0, 0, 0
19:45:00, 0, 0, 0
20:00:00, 0, 0, 0 
20:15:00, 0, 0, 0 
20:30:00, 0, -4.8629997642734004, 0
20:45:00, 0, -4.9279997643223279, 0 
21:00:00, 0, 4.8227575032952759, 0 
21:15:00, 0, 0, 4.7498983272397561 
21:30:00, -3.1808742957534371, 0, 0
21:45:00, 4.4552205991961502, 0, 0
22:00:00, 4.9009994009983862, 0, 0 
22:15:00, 0, 0, 5.0179994002561203 
22:30:00, 4.7359994024260574, 0, 0 
22:45:00, 4.8149994023481026, 0, 0
23:00:00, 0, 0, 5.3769999451506321
23:15:00, 0, 0, 4.6589999478173452 
23:30:00, 0, 4.6139999478132614, 0
23:45:00, 0, 0, 4.8239999478068549
