Time,AP[MW],BP[MW],CP[MW]
00:00:00, 0, 0.0046160000000000236, 0
00:15:00, 0.0045540000000000225, 0, 0
00:30:00, 0.0046500000000000217, 0, 0
00:45:00, 0.0045730000000000173, 0, 0
01:00:00, 0, 0, 0.0045710000000000006
01:15:00, 0, 0.0046120000000000223, 0
01:30:00, 0.0046450000000000173, 0, 0
01:45:00, 0, 0, 0.0046200000000000214
02:00:00, 0, 0, -0.0047000000000000286
02:15:00, 0, -0.004647, 0
02:30:00, -0.0047400000000000233, 0, 0
02:45:00, 0, 0, -0.0046450000000000289
03:00:00, -0.0046170000000000124, 0, 0
03:15:00, -0.00088666666666674665, 0, 0
03:30:00, -0.0046440000000000170, 0, 0
03:45:00, 0, -0.0047020000000000302, 0
04:00:00, 0, 0.0046400000000000237, 0
04:15:00, 0.0047150000000000167, 0, 0
04:30:00, 0.0049080000000000332, 0, 0
04:45:00, 0.0051390000000000224, 0, 0
05:00:00, 0, 0, -0.0046039999999999965
05:15:00, 0, -0.0047240000000000295, 0
05:30:00, 0, 0, 0
05:45:00, 0, 0, 0
06:00:00, 0, 0, 0
06:15:00, 0, 0, 0
06:30:00, 0, 0, 0
06:45:00, 0, 0, 0
07:00:00, 0, 0, 0
07:15:00, 0, 0, 0
07:30:00, 0, 0, 0
07:45:00, 0, 0, 0
08:00:00, 0, 0, 0
08:15:00, 0, 0, 0
08:30:00, 0, 0, 0
08:45:00, 0, 0, 0
09:00:00, 0, 0, 0
09:15:00, 0, 0, 0
09:30:00, 0, 0, 0
09:45:00, 0, 0, 0
10:00:00, 0, 0, 0
10:15:00, 0, 0, 0
10:30:00, 0, 0, 0
10:45:00, 0, 0, 0
11:00:00, 0, 0, 0
11:15:00, 0, 0, 0
11:30:00, 0, 0, 0
11:45:00, 0, 0, 0
12:00:00, 0, 0, 0
12:15:00, 0, 0, 0
12:30:00, 0, 0, 0
12:45:00, 0, 0, 0
13:00:00, 0, 0, 0
13:15:00, 0, 0, 0
13:30:00, 0, 0, 0
13:45:00, 0, 0, 0
14:00:00, 0, 0, 0
14:15:00, 0, 0, 0
14:30:00, 0, 0, 0
14:45:00, 0, 0, 0
15:00:00, 0, 0, 0
15:15:00, 0, 0, 0
15:30:00, 0, 0, 0
15:45:00, 0, 0, 0
16:00:00, 0, 0, 0
16:15:00, 0, 0, 0
16:30:00, 0, 0, 0
16:45:00, 0, 0, 0
17:00:00, 0, 0, 0
17:15:00, 0, 0, 0
17:30:00, 0, 0, 0
17:45:00, 0, 0, 0
18:00:00, 0, 0, 0
18:15:00, 0, 0, 0.0048289998208035021
18:30:00, 0, 0, 0.0047319997588169054
18:45:00, 0, 0, 0.0046099998216799767
19:00:00, 0, -0.0039012563682177612, 0
19:15:00, -0.0061809000098737314, 0, 0
19:30:00, 0, -0.0061856418153815325, 0
19:45:00, -0.0061790899884995953, 0, 0
20:00:00, 0, -0.0046649998413746392, 0
20:15:00, -0.0048249998346835170, 0, 0
20:30:00, -0.0047409998382609357, 0, 0
20:45:00, 0, -0.0049279998301530394, 0
21:00:00, 0.0048099998789709693, 0, 0
21:15:00, 0, 0, 0.0049399998786894601
21:30:00, 0, 0.0051199998781424041, 0
21:45:00, 0, 0, 0.0048929998788196416
22:00:00, 0, 0, 0.0049459999507895445
22:15:00, 0, 0, 0.0050179999507324498
22:30:00, 0.0047359999508855184, 0, 0
22:45:00, 0, 0, 0.0046089999508555186
23:00:00, 0, 0, 0.0053769999786985467
23:15:00, 0, 0, 0.0046589999798847286
23:30:00, 0, 0.0046139999798659597, 0
23:45:00, 0, 0, 0.0048239999799226370
