P1[kW], P2[kW], P3[kW], Q1[kVAr], Q2[kVAr], Q3[kVAr]
0.141,0.171,0.161,-0.02,-0.04,-0.005
0.111,0.086,0.225,-0.013,-0.036,-0.008
0.048,0.099,0.311,-0.029,-0.01,0.035
0.038,0.219,0.121,-0.004,0.128,-0.007
0.043,0.262,0.12,-0.029,-0.019,0.012
0.179,0.155,0.036,-0.067,-0.013,-0.006
0.149,0.199,0.102,-0.04,-0.067,0.064
0.268,0.123,0.117,-0.069,0.023,-0.001
0.038,0.346,0.053,-0.03,-0.013,-0.029
0.211,0.104,0.073,0.062,-0.009,0.085
0.23,0.021,0.12,-0.017,-0.048,-0.015
0.186,0.224,0.029,0.087,0.031,-0.001
0.053,0.321,0.091,-0.003,-0.02,0.12
0.061,0.386,0.051,-0.003,-0.051,0.018
0.363,0.015,0.035,-0.051,-0.023,-0.019
0.228,0.043,0.087,-0.012,-0.01,0.018
0.062,0.098,0.229,-0.024,-0.026,0.037
0.022,0.103,0.349,-0.02,-0.007,-0.038
0.061,0.054,0.123,0.027,-0.067,0.088
0.07,0.072,0.079,0.015,0.002,0.109
0.05,0.025,0.07,0.092,0.007,-0.019
0.066,0.04,0.039,0.024,-0.004,0.043
0.104,0.039,0.076,0.028,-0.002,0.024
0.085,0.049,0.079,0.0,-0.002,0.082
0.057,0.093,0.036,0.005,-0.025,0.073
0.209,0.192,0.148,-0.082,0.0,0.142
0.118,0.179,0.203,-0.042,0.02,0.205
0.17,0.048,0.088,0.019,-0.01,0.036
0.151,0.037,0.007,0.132,-0.009,0.0
0.015,0.121,0.021,-0.013,0.083,-0.006
0.084,0.042,0.033,0.044,0.007,-0.02
0.051,0.034,0.026,-0.006,-0.012,-0.005
0.062,0.048,0.015,-0.008,-0.004,-0.002
0.085,0.089,0.023,0.031,0.006,0.033
0.142,0.035,0.004,-0.027,-0.001,0.004
0.047,0.048,0.082,-0.013,-0.004,0.085
0.061,0.015,0.018,-0.047,-0.008,0.014
0.038,0.056,0.036,0.065,0.018,-0.001
0.064,0.043,0.07,0.021,0.0,0.079
0.099,0.071,0.016,0.016,-0.002,0.018
0.113,0.095,0.005,0.041,0.131,0.0
0.084,0.003,0.031,0.002,-0.014,-0.018
0.073,0.102,0.05,-0.026,0.049,0.047
0.259,0.39,0.159,0.03,0.081,0.038
0.236,0.279,0.045,0.01,0.0,-0.005
0.145,0.204,0.009,-0.065,0.097,-0.009
0.158,0.065,0.081,0.147,0.035,0.001
0.038,0.151,0.083,-0.015,0.076,0.036
0.049,0.099,0.078,0.0,-0.049,0.096
0.015,0.205,0.105,-0.028,-0.023,0.035
0.165,0.062,0.234,0.035,-0.003,0.005
1.162,0.325,1.522,0.236,-0.073,0.194
0.161,2.461,0.534,0.029,0.065,0.187
1.015,0.434,0.199,0.04,0.013,0.112
0.296,0.104,0.708,0.057,0.014,0.036
0.191,0.118,0.572,-0.028,-0.052,0.048
0.622,0.378,0.172,0.001,0.281,0.068
0.269,1.23,0.324,-0.02,0.117,0.014
3.285,0.182,0.059,-0.008,0.028,0.024
2.134,0.084,0.112,-0.048,-0.039,0.017
0.415,0.159,0.092,0.022,0.061,0.042
0.18,0.604,0.088,0.004,0.013,0.091
0.121,0.472,0.128,-0.003,-0.014,0.038
0.107,0.177,0.15,-0.035,-0.053,0.08
1.03,0.628,0.074,0.083,-0.077,0.033
3.132,0.282,0.106,-0.009,0.012,0.09
0.135,1.702,0.178,0.019,0.0,0.129
0.024,0.279,0.521,0.003,0.007,0.154
0.055,0.274,0.105,-0.022,-0.028,-0.038
0.097,0.14,0.17,0.049,-0.006,0.027
0.193,0.104,0.119,-0.095,0.05,-0.007
0.167,0.079,0.088,0.078,0.032,-0.007
0.182,0.066,0.104,-0.142,0.014,-0.016
0.127,0.064,0.23,0.041,-0.077,0.125
0.023,0.41,0.404,-0.009,-0.006,-0.037
1.064,0.342,1.37,-0.059,0.055,-0.085
0.181,0.15,0.835,0.129,0.01,0.067
0.128,0.319,0.202,0.011,-0.026,0.131
0.008,0.706,0.125,-0.006,0.064,0.038
0.091,0.161,0.126,-0.032,0.032,-0.052
0.048,0.085,0.205,-0.03,0.064,0.242
0.165,0.042,0.094,0.02,-0.01,0.024
0.074,0.346,0.013,-0.01,0.139,0.009
0.047,0.126,0.235,-0.023,-0.001,0.016
0.023,0.084,0.383,-0.021,-0.007,-0.045
0.121,0.188,0.219,-0.023,-0.052,0.085
0.029,0.315,0.086,-0.019,0.133,0.012
0.104,0.163,0.102,0.011,0.011,0.025
0.042,0.292,0.046,-0.013,-0.035,-0.046
0.124,0.174,0.098,-0.024,-0.051,0.037
0.056,0.137,0.287,-0.025,-0.042,0.043
0.043,0.306,0.094,0.009,0.22,-0.031
0.103,0.144,0.097,-0.053,0.021,-0.024
0.305,0.046,0.016,0.234,-0.01,-0.005
0.255,0.084,0.039,0.105,0.002,0.036
0.08,0.23,0.121,-0.024,-0.062,0.03
