Egy,Arr,Dep
55,17:15,23:00
84,10:45,13:30
70,13:30,14:00
60.1,12:15,17:45
61.2,13:00,07:15
60,15:45,23:00
59.5,18:00,05:15
96,16:45,05:45
44,13:00,16:00
65,14:00,17:00
42,15:30,23:00
58,17:15,20:30
68,16:15,22:00	
75.5,10:30,12:30
50,00:30,10:45
58,09:15,14:30
90,13:15,16:15
87.1,16:30,11:00
76.8,19:00,10:15
52,16:45,23:00
