A,B,C,P[MW]
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
0,0,1,0
1,0,0,0
1,0,0,0
1,0,0,0.0052899998112194888
0,0,1,0.0052099998118796327
0,0,1,0.0050659998126453312
0,1,0,0.0049699998131291965
1,0,0,-0.0058352355864218293
1,0,0,-0.0058469409806131356
0,1,0,-0.0046238377805827602
1,0,0,-0.0058383182270353888
1,0,0,-0.0050409997402468001
0,1,0,-0.0047239997662472417
1,0,0,-0.0047409997647007263
0,1,0,-0.0049279997503796089
0,1,0,0.0046809998568117637
0,0,1,0.0048179998561702222
0,1,0,0.0046209998338416911
0,0,1,0.0048159998560484629
0,0,1,0.0046449999193757607
1,0,0,0.0046319999207413369
1,0,0,0.0046539999303813007
1,0,0,0.0048059998993892732
0,0,1,0.0053769999699527533
0,0,1,0.0046589999713019905
1,0,0,0
1,0,0,0


