A,B,C,P[kW]
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0 
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
1, 0, 0, 0
0, 1, 0, 4.6439999698762060
0, 0, 1, 4.6269999115993086
0, 1, 0, 4.7059999342355203
0, 0, 1, 4.6839999109507895
0, 1, 0, 4.6249999309074736
0, 0, 1, 5.5997193848742155
0, 0, 1, 5.1889146040170884
0, 0, 1, 5.0449733055821246
0, 0, 1, 4.9589973439791750
0, 0, 1, -4.9659999335705773
0, 0, 1, 2.3805937041763174
0, 1, 0, 2.1861845086152014
0, 1, 0, 2.2682839862440032
0, 1, 0, -4.6649999739717654 
1, 0, 0, -4.8249999737074454
0, 1, 0, -4.8629999736350094
0, 1, 0, -4.9279999735377693 
1, 0, 0, 0 
1, 0, 0, 0 
0, 1, 0, 0
1, 0, 0, 0
1, 0, 0, 0 
1, 0, 0, 0 
0, 1, 0, 0 
1, 0, 0, 0
1, 0, 0, 0
0, 1, 0, 0 
1, 0, 0, 0
1, 0, 0, 0
