Date,Time,P1[kW],P2[kW],P3[kW],Q1[kVAr],Q2[kVAr],Q3[kVAr]
01.01.2014,15:15:00,0.000319,0.001274,0.00004,0.000047,0.000021,-0.000005
01.01.2014,15:30:00,0.000048,0.000069,0.000031,-0.000008,0.0000,0.000003
01.01.2014,15:45:00,0.000082,0.0001,0.000098,-0.000037,-0.000016,0.000052
01.01.2014,16:00:00,0.000089,0.000044,0.000043,-0.000017,-0.000035,0.000004
01.01.2014,16:15:00,0.000016,0.000093,0.000072,-0.000017,0.000078,-0.000015
01.01.2014,16:30:00,0.000201,0.000038,0.000001,0.000013,-0.000007,0.0000
01.01.2014,16:45:00,0.000121,0.000024,0.000068,-0.000036,-0.000041,-0.000013
01.01.2014,17:00:00,0.000217,0.000036,0.000009,0.000109,-0.00001,0.000002
01.01.2014,17:15:00,0.000408,0.000034,0.00014,0.000209,0.000086,0.000113
01.01.2014,17:30:00,0.000134,0.000312,0.00005,-0.000025,0.000156,-0.000023
01.01.2014,17:45:00,0.000454,0.000179,0.000204,0.000006,0.00006,0.000149
01.01.2014,18:00:00,0.000355,0.001045,0.000024,0.000101,0.000048,0.0000
01.01.2014,18:15:00,0.000653,0.000272,0.000043,0.000091,-0.000014,-0.000002
01.01.2014,18:30:00,0.00032,0.000654,0.000188,-0.000034,0.000053,-0.00005
01.01.2014,18:45:00,0.000574,0.000204,0.000194,-0.00002,0.000037,0.00011
01.01.2014,19:00:00,0.000034,0.000453,0.0004,-0.00002,0.000009,-0.000061
01.01.2014,19:15:00,0.000227,0.000142,0.000413,-0.000027,-0.00005,0.000104
01.01.2014,19:30:00,0.00018,0.000584,0.000204,-0.00001,0.000043,-0.000012
01.01.2014,19:45:00,0.000051,0.000451,0.000153,-0.000035,0.000131,0.000007
01.01.2014,20:00:00,0.000451,0.000075,0.00001,0.000337,-0.000007,0.000001
01.01.2014,20:15:00,0.000286,0.000185,0.000061,0.000048,0.000045,0.000017
01.01.2014,20:30:00,0.000174,0.000296,0.000033,-0.00001,0.00002,-0.000008
01.01.2014,20:45:00,0.000221,0.000538,0.00021,0.0000,-0.000039,0.000073
01.01.2014,21:00:00,0.000241,0.00016,0.000451,-0.000018,-0.00005,0.000112
01.01.2014,21:15:00,0.000367,0.000245,0.000027,0.000104,-0.000012,-0.000002
01.01.2014,21:30:00,0.000553,0.000033,0.000054,-0.000034,0.00001,-0.000026
01.01.2014,21:45:00,0.000321,0.000244,0.000028,0.000034,-0.000026,-0.000004
01.01.2014,22:00:00,0.000109,0.00041,0.000064,-0.000031,-0.000084,0.000061
01.01.2014,22:15:00,0.000178,0.000628,0.00021,-0.000078,-0.00001,0.0000
01.01.2014,22:30:00,0.000243,0.000297,0.000379,-0.000061,-0.00007,0.000128
01.01.2014,22:45:00,0.000622,0.000837,0.000828,0.000673,0.000762,0.000773
01.01.2014,23:00:00,0.005068,0.001545,0.000768,-0.000457,0.0008,-0.000354
01.01.2014,23:15:00,0.000505,0.000167,0.000108,-0.000045,0.000044,0.000037
01.01.2014,23:30:00,0.000026,0.000012,0.00049,0.000029,-0.000009,-0.000012
01.01.2014,23:45:00,0.000282,0.000238,0.000014,0.000112,-0.000015,-0.000004
